# posição x = 0.217 m
tempo [s];Z [m];w [m/s]
0.033;0.368014;-0.069563973
0.066;0.364693;-0.030501684
0.099;0.365322;0.005579293
0.132;0.364658;0.047010943
0.165;0.368958;0.071036195
0.198;0.37144;0.033987374
0.231;0.370898;0.001195286
0.264;0.371318;-0.023154882
0.297;0.368259;-0.012623737
0.33;0.369273;0.023742424
0.363;0.371702;0.014957071
0.396;0.372436;-0.046419192
0.429;0.364763;-0.015137205
0.462;0.371108;0.023274411
0.495;0.370059;-0.029195286
0.528;0.368171;-0.057765152
0.561;0.364483;-0.042635522
0.594;0.365025;-0.007953704
0.627;0.364571;0.013436027
0.66;0.365235;0.041827441
0.693;0.368626;0.033746633
0.726;0.369814;-0.03716835
0.759;0.363312;-0.031733165
0.792;0.367682;-0.018565657
0.825;0.3609;0.02964899
0.858;0.369902;0.063281987
0.891;0.368014;0.015479798
0.924;0.370951;-0.033547138
0.957;0.364658;-0.056474747
0.99;0.365357;-0.016084175
1.023;0.364885;-0.00572138
1.056;0.362543;0.061933502
1.089;0.372087;0.044364478
1.122;0.367193;-0.012170875
1.155;0.367909;0.012105219
1.188;0.36714;0.054722222
1.221;0.374237;0.032241582
1.254;0.370951;-0.039768519
1.287;0.368871;-0.038111953
1.32;0.368311;-0.028325758
1.353;0.365445;0.024936027
1.386;0.371999;0.020623737
1.419;0.368276;-0.023802189
1.452;0.369168;-0.037340067
1.485;0.365322;-0.03601431
1.518;0.365882;-0.00668771
1.551;0.366022;-0.008239057
1.584;0.36555;-0.009776936
1.617;0.364885;-0.002816498
1.65;0.363679;0.042744949
1.683;0.370549;0.016464646
1.716;0.365794;-0.031326599
1.749;0.365095;0.002900673
1.782;0.365445;0.051212963
1.815;0.371457;0.02406734
1.848;0.367542;-0.020830808
1.881;0.368888;-0.031393939
1.914;0.364134;-0.008857744
1.947;0.367402;0.036636364
1.98;0.370986;-0.026675084
2.013;0.363976;-0.049965488
2.046;0.364134;0.009494949
2.079;0.368032;-0.011052189
2.112;0.364553;-0.055617845
2.145;0.361477;-0.028188552
2.178;0.361582;0.034750842
2.211;0.364553;0.077788721
2.244;0.367822;0.077748316
2.277;0.371825;0.017124579
2.31;0.369762;-0.064419192
2.343;0.363854;-0.049808923
2.376;0.366563;-0.028944444
2.409;0.363539;-0.040460438
2.442;0.362298;-0.015824074
2.475;0.362666;0.001826599
2.508;0.363644;-0.009506734
2.541;0.361669;-0.015177609
2.574;0.362229;-0.008249158
2.607;0.361425;-0.005228956
2.64;0.360725;0.025712121
2.673;0.363819;0.036664141
2.706;0.364518;0.011582492
2.739;0.363802;0.000691919
2.772;0.364518;-0.004122054
2.805;0.363959;-0.016185185
2.838;0.361127;0.027970539
2.871;0.367682;0.021427609
2.904;0.364169;-0.024083333
2.937;0.364571;-0.031858586
2.97;0.36076;-0.004948653
3.003;0.364448;0.025250842
3.036;0.363662;0.016557239
3.069;0.364431;0.030606061
3.102;0.368469;-0.024057239
3.135;0.361267;-0.036356902
3.168;0.3634;0.01806734
3.201;0.36513;0.00698569
3.234;0.363994;-0.003430976
3.267;0.364553;-0.010787037
3.3;0.361564;0.025973064
3.333;0.367892;0.02214899
3.366;0.364169;-0.012607744
3.399;0.36541;-0.007358586
3.432;0.364291;-0.015066498
3.465;0.363732;0.00163468
3.498;0.364204;0.019226431
3.531;0.36499;0.036868687
3.564;0.368154;0.011802189
3.597;0.36534;-0.004619529
3.63;0.367717;-0.016626263
3.663;0.364064;-0.023719697
3.696;0.365427;-0.008431818
3.729;0.364903;-0.025823232
3.762;0.361896;0.002398148
3.795;0.365235;0.023162458
3.828;0.365305;0.000780303
3.861;0.364291;-0.000411616
3.894;0.364099;0.026659091
3.927;0.367717;0.012957071
3.96;0.364815;-0.001664141
3.993;0.367542;-0.014193603
4.026;0.364501;-0.037280303
4.059;0.362683;-0.000515152
4.092;0.365165;0.017671717
4.125;0.366109;-0.016446128
4.158;0.362526;-0.017875421
4.191;0.363627;0.01051936
4.224;0.365882;-0.019939394
4.257;0.361634;-0.032429293
4.29;0.360883;0.026289562
4.323;0.365287;0.037587542
4.356;0.364011;0.032256734
4.389;0.367595;0.015572391
4.422;0.364501;0.010388889
4.455;0.368329;0.009152357
4.488;0.365847;-0.006724747
4.521;0.365515;0.031420875
4.554;0.36901;0.039382997
4.587;0.371405;-0.033085859
4.62;0.364134;-0.040945286
4.653;0.367245;-0.007386364
4.686;0.365235;-0.011989899
4.719;0.365637;0.003225589
4.752;0.36763;-0.035515152
4.785;0.361145;-0.02246633
4.818;0.364711;0.026203704
4.851;0.367053;-0.025015152
4.884;0.360568;-0.014212121
4.917;0.364781;0.024790404
4.95;0.364291;0.017387205
4.983;0.365969;0.001355219
5.016;0.363907;-0.00908165
5.049;0.367;-0.055563973
5.082;0.358977;-0.065504209
5.115;0.360655;-0.016915825
5.148;0.358593;0.016217172
5.181;0.361197;0.057457912
5.214;0.364676;0.037858586
5.247;0.364291;0.003426768
5.28;0.361582;0.04815404
5.313;0.368818;0.060350168
5.346;0.367647;0.021185185
5.379;0.368748;0.016212963
5.412;0.368416;0.013345118
5.445;0.369587;0.015244949
5.478;0.371615;-0.035281987
5.511;0.365217;-0.036044613
5.544;0.36756;0.005771886
5.577;0.368731;-0.025148148
5.61;0.364658;-0.027150673
5.643;0.365689;-5.80808E-05
5.676;0.366441;-0.010323232
5.709;0.363697;0.009492424
5.742;0.366546;0.038739057
5.775;0.368731;0.008234848
5.808;0.365864;0.00181734
5.841;0.368136;0.013754209
5.874;0.369045;-0.02159596
5.907;0.363714;0.009997475
5.94;0.369308;0.050424242
5.973;0.372541;-0.044241582
6.006;0.362159;-0.036458754
6.039;0.369255;-0.00678367
6.072;0.364204;-0.030840067
6.105;0.365287;-0.003853535
6.138;0.364606;-0.002597643
6.171;0.364274;0.021807239
6.204;0.368906;-0.030000842
6.237;0.36118;-0.05261532
6.27;0.363732;-0.022877946
6.303;0.360114;-0.005282828
6.336;0.361145;0.061601852
6.369;0.369972;-0.017228956
6.402;0.359537;-0.079141414
6.435;0.358226;0.023203704
6.468;0.3634;0.068107744
6.501;0.365043;0.05737963
6.534;0.368731;0.001042088
6.567;0.361949;0.022361111
6.6;0.368556;0.086878788
6.633;0.371842;0.044389731
6.666;0.371143;0.003443603
6.699;0.371982;-0.036107744
6.732;0.368084;-0.046217172
6.765;0.366196;0.010063131
6.798;0.370129;0.033930976
6.831;0.372052;-0.030766835
6.864;0.364483;-0.016702862
6.897;0.370391;0.016656566
6.93;0.369762;-0.046697811
6.963;0.362403;0.003167508
6.996;0.371353;0.018718013
7.029;0.367857;-0.066758418
7.062;0.361529;-0.017453704
7.095;0.368241;-0.002893939
7.128;0.361355;0.01456734
7.161;0.368206;0.049672559
7.194;0.368434;-0.013399832
7.227;0.364763;-0.012106061
7.26;0.367263;-0.001159091
7.293;0.365585;-0.006712121
7.326;0.365375;0.023430976
7.359;0.368608;0.009063131
7.392;0.365917;-0.001011785
7.425;0.36943;-0.033457071
7.458;0.361617;-0.01369697
7.491;0.368259;0.012417508
7.524;0.365375;-0.03213468
7.557;0.364501;-0.033491582
7.59;0.361634;0.000158249
7.623;0.365025;0.026852694
7.656;0.3652;0.005930976
7.689;0.364256;0.012655724
7.722;0.365917;0.015549663
7.755;0.365619;0.009577441
7.788;0.368434;-0.035606061
7.821;0.361529;-0.036256734
7.854;0.362106;0.057411616
7.887;0.370199;0.029440236
7.92;0.366056;-0.045680135
7.953;0.362928;-0.012367845
7.986;0.363662;0.055719697
8.019;0.368032;0.090555556
8.052;0.37546;-0.023515152
8.085;0.362246;-0.042063973
8.118;0.3695;0.021198653
8.151;0.369552;-0.053677609
8.184;0.36277;-0.045595118
8.217;0.365532;-0.018506734
8.25;0.362403;-0.00685101
8.283;0.36555;-0.005852694
8.316;0.362823;-0.029461279
8.349;0.361092;0.01553367
8.382;0.365357;0.023825758
8.415;0.361792;0.048732323
8.448;0.369325;0.047344276
8.481;0.368049;-0.029027778
8.514;0.364134;-0.021584175
8.547;0.364693;0.030734848
8.58;0.368888;0.022397306
8.613;0.367665;-0.024201178
8.646;0.364204;-0.000169192
8.679;0.367699;0.02609596
8.712;0.368521;-0.01530303
8.745;0.365287;-0.023057239
8.778;0.368171;-0.058803872
8.811;0.359292;-0.036612795
8.844;0.365183;0.007711279
8.877;0.361809;0.003984848
8.91;0.362351;0.06954798
8.943;0.369255;0.052881313
8.976;0.368504;-0.027468013
9.009;0.364938;-0.050545455
9.042;0.363242;-0.018498316
9.075;0.365357;-0.021079966
9.108;0.361355;-0.01565404
9.141;0.364955;-0.025867845
9.174;0.360393;-0.048561448
9.207;0.358506;0.00848064
9.24;0.361722;0.052260943
9.273;0.364606;0.028262626
9.306;0.360516;0.068381313
9.339;0.371772;0.035703704
9.372;0.365025;-0.05058165
9.405;0.36534;-0.053625421
9.438;0.361355;-0.047997475
9.471;0.359886;0.020800505
9.504;0.365497;0.018762626
9.537;0.362421;-0.015254209
9.57;0.361215;0.025731481
9.603;0.365235;0.034584175
9.636;0.365724;-0.01270202
9.669;0.364448;-0.061352694
9.702;0.359921;-0.060670875
9.735;0.358296;0.002578283
9.768;0.361372;0.035753367
9.801;0.361582;0.04366835
9.834;0.364326;0.04078367
9.867;0.364134;0.032688552
9.9;0.367699;-0.00404798
9.933;0.364798;-0.062380471
9.966;0.360201;-0.030324916
9.999;0.363172;-0.004337542
10.032;0.360586;0.007930135
10.065;0.364081;0.003776094
10.098;0.361232;-0.012314815
10.131;0.362945;-0.012328283
10.164;0.359554;0.007185185
10.197;0.361862;0.060043771
10.23;0.367699;0.00779798
10.263;0.362963;-0.056654882
10.296;0.359205;-0.00353367
10.329;0.363347;0.04176936
10.362;0.364239;0.030218855
10.395;0.364588;0.024463805
10.428;0.36714;-0.016934343
10.461;0.363889;-0.0595867
10.494;0.360533;-0.031469697
10.527;0.360638;0.026131313
10.56;0.364763;0.020863636
10.593;0.363592;-0.025409091
10.626;0.361005;-0.023746633
10.659;0.360673;0.015375421
10.692;0.364064;0.00625
10.725;0.360795;0.002249158
10.758;0.363889;0.003914983
10.791;0.361267;0.003005892
10.824;0.36347;0.017878788
10.857;0.362858;0.019268519
10.89;0.365217;0.009578283
10.923;0.363732;-0.004703704
10.956;0.363662;0.011888889
10.989;0.364204;0.037043771
11.022;0.367839;0.017565657
11.055;0.364868;0.008712963
11.088;0.368224;0.0019133
