# posição x = 0.50 m;;
tempo [s];Z [m];w [m/s]
0.033;0.329215;-0.02587037
0.066;0.326677;0.021986532
0.099;0.331403;0.029684343
0.132;0.330126;-0.001689394
0.165;0.331071;-0.029102694
0.198;0.328095;-0.051276936
0.231;0.325942;-0.020861111
0.264;0.326765;0.010376263
0.297;0.32673;0.035584175
0.33;0.330336;0.024661616
0.363;0.329583;-0.020075758
0.396;0.327307;-0.019056397
0.429;0.327937;-0.005344276
0.462;0.326555;0.020705387
0.495;0.330248;0.020493266
0.528;0.32876;-0.00484596
0.561;0.329023;-0.007882155
0.594;0.32855;-0.016929293
0.627;0.32722;-0.00668771
0.66;0.328165;0.002920034
0.693;0.328148;-0.005686027
0.726;0.326905;0.008599327
0.759;0.329075;0.01129798
0.792;0.32757;0.015572391
0.825;0.330878;0.000821549
0.858;0.327412;-0.009459596
0.891;0.3289;0.013425926
0.924;0.329828;-0.00187037
0.957;0.328865;-0.01706229
0.99;0.327815;-0.01066835
1.023;0.327762;0.006367845
1.056;0.328673;0.012630471
1.089;0.329618;-0.005205387
1.122;0.327412;-0.003935185
1.155;0.328375;0.0205
1.188;0.331141;-0.011680135
1.221;0.32687;-0.027537879
1.254;0.32771;-0.004389731
1.287;0.328393;-0.021452862
1.32;0.325522;-0.017785354
1.353;0.32631;0.007303872
1.386;0.327027;0.007760101
1.419;0.326537;0.016267677
1.452;0.32841;0.015357744
1.485;0.326905;0.027911616
1.518;0.330616;0.028113636
1.551;0.330476;-0.014223906
1.584;0.328515;-0.026219697
1.617;0.327482;-0.005689394
1.65;0.32869;0.006661616
1.683;0.32848;0.005925084
1.716;0.32827;0.022
1.749;0.330143;0.032358586
1.782;0.331351;0.016590909
1.815;0.330668;0.010329966
1.848;0.332839;-0.016206229
1.881;0.329758;-0.041271886
1.914;0.328305;-0.020064815
1.947;0.328218;0.009079125
1.98;0.330476;-0.000579125
2.013;0.32778;-0.004680135
2.046;0.33002;-0.006106902
2.079;0.327867;-0.017417508
2.112;0.327902;-0.005097643
2.145;0.327902;-0.00173569
2.178;0.32848;-0.01165404
2.211;0.326029;0.005761785
2.244;0.32827;0.034655724
2.277;0.329775;0.024945286
2.31;0.331018;-0.013934343
2.343;0.327745;-0.026460438
2.376;0.328235;-0.007190236
2.409;0.32785;0.004359428
2.442;0.327657;0.032505892
2.475;0.330371;0.046457912
2.508;0.333521;-0.013261785
2.541;0.327815;-0.032145623
2.574;0.330756;-0.031250842
2.607;0.325802;-0.025064815
2.64;0.32806;0.009327441
2.673;0.327745;0.006987374
2.706;0.328218;0.010771044
2.739;0.329023;-0.00401431
2.772;0.327972;-0.018197811
2.805;0.32736;-0.021241582
2.838;0.32666;-0.023162458
2.871;0.325767;-0.021074074
2.904;0.324559;7.07E-05
2.937;0.326082;0.013183502
2.97;0.325679;0.019357744
3.003;0.327552;0.019744949
3.036;0.326887;0.018846801
3.069;0.32855;0.022659933
3.102;0.32974;-0.005394781
3.135;0.327307;-0.008355219
3.168;0.327657;0.023279461
3.201;0.33002;0.024712121
3.234;0.331298;-0.021165825
3.267;0.327115;-0.029742424
3.3;0.326905;0.023088384
3.333;0.330563;0.02976431
3.366;0.330231;-0.001664983
3.399;0.329618;-0.014739899
3.432;0.329215;-0.025050505
3.465;0.326712;-0.00021633
3.498;0.330091;0.003109428
3.531;0.327377;-0.005598485
3.564;0.328813;0.009951178
3.597;0.328533;0.011332492
3.63;0.328603;0.033387205
3.663;0.332594;0.007200337
3.696;0.329793;-0.034
3.729;0.327552;-0.007622896
3.762;0.3296;0.013305556
3.795;0.330528;-0.013569865
3.828;0.327482;-0.013349327
3.861;0.32855;0.013275253
3.894;0.32974;0.007456229
3.927;0.329075;-0.001423401
3.96;0.329408;-0.006521886
3.993;0.328883;-0.013983165
4.026;0.32778;-0.001227273
4.059;0.32841;0.020372054
4.092;0.329775;0.025207912
4.125;0.330773;0.009340909
4.158;0.329985;0.002638889
4.191;0.330948;-0.005622054
4.224;0.329373;-0.007597643
4.257;0.331176;-0.024840909
4.29;0.327395;-0.031841751
4.323;0.327465;0.00329798
4.356;0.328725;0.011051347
4.389;0.328463;0.011079125
4.422;0.32946;0.005333333
4.455;0.329128;-0.008645623
4.488;0.328953;-0.021824074
4.521;0.327132;-0.020319024
4.554;0.32701;0.001091751
4.587;0.32785;0.00533165
4.62;0.326642;0.024061448
4.653;0.330896;0.005213805
4.686;0.327307;-0.023829125
4.719;0.327412;-0.005860269
4.752;0.328533;-0.024560606
4.785;0.325224;-0.023722222
4.818;0.325662;0.009950337
4.851;0.326345;0.031280303
4.884;0.328165;0.038953704
4.917;0.330248;0.009222222
4.95;0.328095;-0.00178367
4.983;0.329075;0.010729798
5.016;0.329058;0.019513468
5.049;0.332104;-0.014515993
5.082;0.326677;-0.015137205
5.115;0.330423;0.003329125
5.148;0.328235;-0.009650673
5.181;0.32869;0.011157407
5.214;0.329233;0.019484007
5.247;0.328568;0.058497475
5.28;0.336515;0.010430135
5.313;0.329828;-0.051452862
5.346;0.328778;-0.005774411
5.379;0.331106;0.002771044
5.412;0.330126;-0.014707071
5.445;0.329373;-0.019220539
5.478;0.32904;-0.025936869
5.511;0.327167;-0.016927609
5.544;0.327535;0.001653199
5.577;0.32792;0.003477273
5.61;0.32792;-0.001106061
5.643;0.32792;-0.010523569
5.676;0.327447;-0.021247475
5.709;0.326117;-0.019505892
5.742;0.324699;0.019762626
5.775;0.328568;0.031445286
