tempo [s];Z [m];w [m/s];arquivo_origem
0.033;0.373832;0.041698653;x0.0.csv
0.066;0.375721;0.02425463;x0.0.csv
0.099;0.375774;0.008211111;x0.0.csv
0.132;0.375774;0.004856902;x0.0.csv
0.165;0.376211;-0.002271044;x0.0.csv
0.198;0.375616;-0.006548822;x0.0.csv
0.231;0.375984;-0.014806397;x0.0.csv
0.264;0.373815;-0.001574916;x0.0.csv
0.297;0.375914;0.009626263;x0.0.csv
0.33;0.375284;-0.001505892;x0.0.csv
0.363;0.375966;-0.015606902;x0.0.csv
0.396;0.373885;-0.020940236;x0.0.csv
0.429;0.373517;0.003614478;x0.0.csv
0.462;0.375056;0.00428367;x0.0.csv
0.495;0.373762;0.006082492;x0.0.csv
0.528;0.375651;0.001207071;x0.0.csv
0.561;0.373552;0.001574916;x0.0.csv
0.594;0.375651;0.004356902;x0.0.csv
0.627;0.375056;-0.022583333;x0.0.csv
0.66;0.373045;-0.019563131;x0.0.csv
0.693;0.37322;-0.00087037;x0.0.csv
0.726;0.373272;0.012852694;x0.0.csv
0.759;0.373972;0.026563131;x0.0.csv
0.792;0.375826;0.015786195;x0.0.csv
0.825;0.375214;-0.001453704;x0.0.csv
0.858;0.375634;-0.016223906;x0.0.csv
0.891;0.37371;-0.01648064;x0.0.csv
0.924;0.374059;-0.002872054;x0.0.csv
0.957;0.373535;0.011281987;x0.0.csv
0.99;0.375459;0.007227273;x0.0.csv
1.023;0.373902;0.005238215;x0.0.csv
1.056;0.375861;0.001219697;x0.0.csv
1.089;0.373587;0.005609428;x0.0.csv
1.122;0.376508;0.003333333;x0.0.csv
1.155;0.374672;-0.021518519;x0.0.csv
1.188;0.37399;-0.017520202;x0.0.csv
1.221;0.37371;-0.017010943;x0.0.csv
1.254;0.37259;-0.00761532;x0.0.csv
1.287;0.373185;0.003681818;x0.0.csv
1.32;0.37336;0.002515152;x0.0.csv
1.353;0.37224;0.026532828;x0.0.csv
1.386;0.375844;0.029388889;x0.0.csv
1.419;0.375441;-0.000146465;x0.0.csv
1.452;0.374987;-0.01036532;x0.0.csv
1.485;0.374409;-0.010175084;x0.0.csv
1.518;0.374392;-0.007034512;x0.0.csv
1.551;0.37357;0.003679293;x0.0.csv
1.584;0.374724;0.011734007;x0.0.csv
1.617;0.375424;-0.008596801;x0.0.csv
1.65;0.373325;-0.008893939;x0.0.csv
1.683;0.374864;-0.006771886;x0.0.csv
1.716;0.372888;-0.004154882;x0.0.csv
1.749;0.373552;0.021356902;x0.0.csv
1.782;0.376228;-0.00188468;x0.0.csv
1.815;0.373587;-0.026496633;x0.0.csv
1.848;0.372468;-0.003117845;x0.0.csv
1.881;0.37357;0.018546296;x0.0.csv
1.914;0.375196;0.003130471;x0.0.csv
1.947;0.373097;0.002403199;x0.0.csv
1.98;0.375179;0.005512626;x0.0.csv
2.013;0.37343;0.008894781;x0.0.csv
2.046;0.375896;0.008542929;x0.0.csv
2.079;0.375022;-0.016943603;x0.0.csv
2.112;0.373535;-0.01175;x0.0.csv
2.145;0.37385;0.005193603;x0.0.csv
2.178;0.375039;-0.005468013;x0.0.csv
2.211;0.37259;0.004224747;x0.0.csv
2.244;0.375826;-1.0101e-05;x0.0.csv
2.277;0.372993;-0.014001684;x0.0.csv
2.31;0.374042;-0.006676768;x0.0.csv
2.343;0.373202;-0.014358586;x0.0.csv
2.376;0.372625;-0.008288721;x0.0.csv
2.409;0.37238;0.004346801;x0.0.csv
2.442;0.37336;0.007408249;x0.0.csv
2.475;0.37259;0.014151515;x0.0.csv
2.508;0.374427;0.016024411;x0.0.csv
2.541;0.374707;-0.007535354;x0.0.csv
2.574;0.372853;-0.005285354;x0.0.csv
2.607;0.373885;0.008594276;x0.0.csv
2.64;0.374689;-0.006066498;x0.0.csv
2.673;0.372923;-0.007036195;x0.0.csv
2.706;0.373465;0.009449495;x0.0.csv
2.739;0.374322;0.007754209;x0.0.csv
2.772;0.374199;-0.000220539;x0.0.csv
2.805;0.37399;-0.001871212;x0.0.csv
2.838;0.374094;-0.000680976;x0.0.csv
2.871;0.373762;0.006377946;x0.0.csv
2.904;0.373867;0.025857744;x0.0.csv
2.937;0.376561;0.018655724;x0.0.csv
2.97;0.376106;-0.014888047;x0.0.csv
3.003;0.373482;0.001356902;x0.0.csv
3.036;0.376946;0.001356061;x0.0.csv
3.069;0.374549;-0.020242424;x0.0.csv
3.102;0.373955;-0.001025253;x0.0.csv
3.135;0.375022;0.003075758;x0.0.csv
3.168;0.374357;0.005459596;x0.0.csv
3.201;0.375774;-0.003361953;x0.0.csv
3.234;0.373307;0.00551936;x0.0.csv
3.267;0.376211;0.012770202;x0.0.csv
3.3;0.375844;-0.020744108;x0.0.csv
3.333;0.373185;-0.013576599;x0.0.csv
3.366;0.374462;0.006180976;x0.0.csv
3.399;0.374899;-0.00405303;x0.0.csv
3.432;0.373552;2.86195e-05;x0.0.csv
3.465;0.375004;0.001015993;x0.0.csv
3.498;0.373762;-0.001473906;x0.0.csv
3.531;0.374374;0.009851852;x0.0.csv
3.564;0.375354;-0.003649832;x0.0.csv
3.597;0.373412;0.001931818;x0.0.csv
3.63;0.375704;0.002169192;x0.0.csv
3.663;0.3735;0.002636364;x0.0.csv
3.696;0.375529;0.0110867;x0.0.csv
3.729;0.375634;-0.015549663;x0.0.csv
3.762;0.373395;-0.014256734;x0.0.csv
3.795;0.374304;-0.003252525;x0.0.csv
3.828;0.374025;-0.010289562;x0.0.csv
3.861;0.373045;-0.004346801;x0.0.csv
3.894;0.373762;0.001973906;x0.0.csv
3.927;0.37364;-0.002606061;x0.0.csv
3.96;0.37259;0.017551347;x0.0.csv
3.993;0.375599;0.016582492;x0.0.csv
4.026;0.373815;0.010319865;x0.0.csv
4.059;0.376106;0.005474747;x0.0.csv
4.092;0.375039;-0.019020202;x0.0.csv
4.125;0.37399;-0.019066498;x0.0.csv
4.158;0.372905;0.002649832;x0.0.csv
4.191;0.374777;0.011573232;x0.0.csv
4.224;0.374357;0.001691077;x0.0.csv
4.257;0.374217;0.005092593;x0.0.csv
4.29;0.375039;0.000647306;x0.0.csv
4.323;0.374637;-0.012092593;x0.0.csv
4.356;0.373237;-0.00041835;x0.0.csv
4.389;0.375126;-0.001839226;x0.0.csv
4.422;0.373482;-0.011697811;x0.0.csv
4.455;0.37399;-0.011276094;x0.0.csv
4.488;0.37259;-0.00531734;x0.0.csv
4.521;0.372905;0.017979798;x0.0.csv
4.554;0.374532;0.019568182;x0.0.csv
4.587;0.375424;-0.010664983;x0.0.csv
4.62;0.373062;-0.021630471;x0.0.csv
4.653;0.37315;-0.009111953;x0.0.csv
4.686;0.372415;0.007085859;x0.0.csv
4.719;0.374025;0.0126633;x0.0.csv
4.752;0.373727;0.005723906;x0.0.csv
4.785;0.373972;0.007376263;x0.0.csv
4.818;0.373832;0.01641835;x0.0.csv
4.851;0.376176;0.000416667;x0.0.csv
4.884;0.37378;-0.014589226;x0.0.csv
4.917;0.373535;0.011451178;x0.0.csv
4.95;0.376001;0.002867003;x0.0.csv
4.983;0.373902;-0.007231481;x0.0.csv
5.016;0.374269;0.010737374;x0.0.csv
5.049;0.374812;0.021560606;x0.0.csv
5.082;0.376946;0.000893939;x0.0.csv
5.115;0.375266;-0.030906566;x0.0.csv
5.148;0.37343;-0.022760101;x0.0.csv
5.181;0.373395;-0.003771886;x0.0.csv
5.214;0.373447;0.011468855;x0.0.csv
5.247;0.375109;0.000489899;x0.0.csv
5.28;0.372783;0.003782828;x0.0.csv
5.313;0.375406;0.00491835;x0.0.csv
5.346;0.373955;-0.013367003;x0.0.csv
5.379;0.373692;-0.010790404;x0.0.csv
5.412;0.372993;-0.002425926;x0.0.csv
5.445;0.374025;-0.004526094;x0.0.csv
5.478;0.372765;-0.009623737;x0.0.csv
5.511;0.373097;-0.006172559;x0.0.csv
5.544;0.372415;-0.002294613;x0.0.csv
5.577;0.372345;0.015805556;x0.0.csv
5.61;0.37385;0.022090909;x0.0.csv
5.643;0.374812;0.002587542;x0.0.csv
5.676;0.373482;-0.004699495;x0.0.csv
5.709;0.373937;0.002065657;x0.0.csv
5.742;0.374025;0.001737374;x0.0.csv
5.775;0.374112;-0.000183502;x0.0.csv
5.808;0.373517;0.009107744;x0.0.csv
5.841;0.375196;0.004340909;x0.0.csv
5.874;0.374059;-0.00651936;x0.0.csv
5.907;0.374899;-0.019327441;x0.0.csv
5.94;0.371943;-0.010747475;x0.0.csv
5.973;0.373762;0.009878788;x0.0.csv
6.006;0.373902;-0.002018519;x0.0.csv
6.039;0.373132;-0.002647306;x0.0.csv
6.072;0.373465;0.001683502;x0.0.csv
6.105;0.373605;0.000585859;x0.0.csv
6.138;0.373202;0.006757576;x0.0.csv
6.171;0.373605;0.020628788;x0.0.csv
6.204;0.375546;0.009174242;x0.0.csv
6.237;0.374917;-0.019713805;x0.0.csv
6.27;0.37294;-0.015846801;x0.0.csv
6.303;0.373482;0.002680976;x0.0.csv
6.336;0.373605;0.010218855;x0.0.csv
6.369;0.373517;0.028549663;x0.0.csv
6.402;0.376946;0.007228114;x0.0.csv
6.435;0.374724;-0.030749158;x0.0.csv
6.468;0.373062;-0.021585017;x0.0.csv
6.501;0.372835;0.002845118;x0.0.csv
6.534;0.374077;0.010175084;x0.0.csv
6.567;0.373482;0.013726431;x0.0.csv
6.6;0.374917;0.015816498;x0.0.csv
6.633;0.375424;-0.004552189;x0.0.csv
6.666;0.374042;-0.009307239;x0.0.csv
6.699;0.374252;-0.001327441;x0.0.csv
6.732;0.374234;0.001107744;x0.0.csv
6.765;0.375022;-0.014306397;x0.0.csv
6.798;0.372818;-0.017570707;x0.0.csv
6.831;0.373482;-0.009621212;x0.0.csv
6.864;0.3721;0.000973906;x0.0.csv
6.897;0.37364;0.008820707;x0.0.csv
6.93;0.373412;-0.003107744;x0.0.csv
6.963;0.372975;-0.003943603;x0.0.csv
6.996;0.37301;-0.001132155;x0.0.csv
7.029;0.373045;0.001063131;x0.0.csv
7.062;0.372818;0.008877104;x0.0.csv
7.095;0.373447;0.017579966;x0.0.csv
7.128;0.374987;0.00022138;x0.0.csv
7.161;0.373972;-0.028994949;x0.0.csv
7.194;0.371593;-0.019936027;x0.0.csv
7.227;0.372258;0.002987374;x0.0.csv
7.26;0.372485;0.009332492;x0.0.csv
7.293;0.372695;0.019449495;x0.0.csv
7.326;0.374339;0.013239899;x0.0.csv
7.359;0.372888;0.022054714;x0.0.csv
7.392;0.376123;0.021521044;x0.0.csv
7.425;0.375336;-0.004589226;x0.0.csv
7.458;0.374707;-0.004946128;x0.0.csv
7.491;0.375126;-0.008213805;x0.0.csv
7.524;0.374917;-0.026058081;x0.0.csv
7.557;0.37252;-0.021082492;x0.0.csv
7.59;0.372923;0.00131229;x0.0.csv
7.623;0.373185;0.008698653;x0.0.csv
7.656;0.37343;0.01511532;x0.0.csv
7.689;0.375161;-0.003007576;x0.0.csv
7.722;0.372765;-0.009820707;x0.0.csv
7.755;0.373167;0.016095118;x0.0.csv
7.788;0.375389;0.003226431;x0.0.csv
7.821;0.373587;-0.014782828;x0.0.csv
7.854;0.373657;-0.013026094;x0.0.csv
7.887;0.372538;-0.003441919;x0.0.csv
7.92;0.372678;0.023686027;x0.0.csv
7.953;0.375266;0.020360269;x0.0.csv
7.986;0.375074;-0.008947811;x0.0.csv
8.019;0.372923;0.002087542;x0.0.csv
8.052;0.375126;0.01647138;x0.0.csv
8.085;0.375651;-0.008181818;x0.0.csv
8.118;0.373535;-0.008890572;x0.0.csv
8.151;0.374899;-0.004328283;x0.0.csv
8.184;0.373745;-0.009941919;x0.0.csv
8.217;0.373272;0.00662037;x0.0.csv
8.25;0.375231;-0.003293771;x0.0.csv
8.283;0.373395;-0.018500842;x0.0.csv
8.316;0.372538;0.001003367;x0.0.csv
8.349;0.3735;0.01958165;x0.0.csv
8.382;0.375319;0.000117003;x0.0.csv
8.415;0.373255;-0.01464899;x0.0.csv
8.448;0.373885;-0.016420034;x0.0.csv
8.481;0.371698;-0.001802189;x0.0.csv
8.514;0.373447;0.020965488;x0.0.csv
8.547;0.373622;0.027404882;x0.0.csv
8.58;0.376019;0.011909933;x0.0.csv
8.613;0.374444;-0.006808923;x0.0.csv
8.646;0.375056;-0.010246633;x0.0.csv
8.679;0.373622;-0.008207912;x0.0.csv
8.712;0.374025;0.005921717;x0.0.csv
8.745;0.374829;-0.001826599;x0.0.csv
8.778;0.374392;-0.020228114;x0.0.csv
8.811;0.372608;-0.014092593;x0.0.csv
8.844;0.372625;0.013058923;x0.0.csv
8.877;0.37378;0.031431818;x0.0.csv
8.91;0.376333;0.006930976;x0.0.csv
8.943;0.373972;-0.014223906;x0.0.csv
8.976;0.374269;-0.006301347;x0.0.csv
9.009;0.374182;-0.011322391;x0.0.csv
9.042;0.373097;-0.003900673;x0.0.csv
9.075;0.374112;-0.002940236;x0.0.csv
9.108;0.37301;-0.004354377;x0.0.csv
9.141;0.373745;-0.004165825;x0.0.csv
9.174;0.37287;-0.00665404;x0.0.csv
9.207;0.372993;-0.001414141;x0.0.csv
9.24;0.372765;0.003133838;x0.0.csv
9.273;0.37371;-0.004066498;x0.0.csv
9.306;0.37238;-0.007585859;x0.0.csv
9.339;0.372485;0.006498316;x0.0.csv
9.372;0.373028;0.014857744;x0.0.csv
9.405;0.374217;0.004233165;x0.0.csv
9.438;0.373132;-0.003964646;x0.0.csv
9.471;0.373517;-0.000513468;x0.0.csv
9.504;0.373377;-0.00296633;x0.0.csv
9.537;0.373028;0.001508418;x0.0.csv
9.57;0.37378;-0.001901515;x0.0.csv
9.603;0.37315;-0.010707071;x0.0.csv
9.636;0.372398;-0.002669192;x0.0.csv
9.669;0.373097;0.002474747;x0.0.csv
9.702;0.372888;0.00151936;x0.0.csv
9.735;0.37301;0.004576599;x0.0.csv
9.768;0.37273;0.017905724;x0.0.csv
9.801;0.374742;0.016226431;x0.0.csv
9.834;0.374322;-0.001005051;x0.0.csv
